objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,abdea.wav,,,Alphonso Brown 'Dea',Spud McCullough,6/25/2020,Basilectal quote,gullah;charleston;geechee; gullah geechee;language;basilect,"Charleston, SC",32.79040383,-79.93718409,Personal data,,sound,audio/wav,en,open access,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,abunna.wav,,,Alphonso Brown 'Unna',Spud McCullough,6/26/2020,Explanation of term 'unna',gullah;charleston;geechee; gullah geechee;language;basilect,"Charleston, SC",32.79040383,-79.93718409,Personal data,,sound,audio/wav,en,open access,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,abdeeranecdote.wav,,,Alphonso Brown 'Deer Anecdote',Spud McCullough,12/13/2021,Anecdote about deer hunters,gullah;charleston;geechee; gullah geechee;language;basilect,"Charleston, SC",32.79040383,-79.93718409,Personal data,,sound,audio/wav,en,open access,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,cwyahd.wav,,,Carolyn White 'Yahd',Wikitongues,4/2/2021,Explanation of the term 'yahd',gullah;charleston;geechee; gullah geechee;language;basilect;interview,"Charleston, SC",32.79040383,-79.93718409,Youtube,,sound,audio/wav,en,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,cwtalkgullah.wav,,,Carolyn White 'Talk Gullah',Wikitongues,4/2/2021,Conversation about 'talking Gullah',gullah;charleston;geechee; gullah geechee;language;basilect;interview,"Charleston, SC",32.79040383,-79.93718409,Youtube,,sound,audio/wav,en,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,cwunderstand.wav,,,Carolyn White 'Understand',Wikitongues,4/2/2021,Conversation about understanding Gullah,gullah;charleston;geechee; gullah geechee;language;basilect;interview,"Charleston, SC",32.79040383,-79.93718409,Youtube,,sound,audio/wav,en,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,,UwLq1orT9dU,,Alphonso Brown 'Keeping it Krystal Klear',Krystal Klear,11/5/2021,Interview with Alphonso Brown,gullah;charleston;geechee; gullah geechee;language;interview,"Charleston, SC",32.79040383,-79.93718409,Youtube,,image;movingimage,video/mp4,en,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,,B2zLn06nq_8,,Franklin Wilson 'Black History Tours',Bounce Charleston,5/10/2019,News story on Frankly Charleston,charleston;black history;african american;tourism;tour,"Charleston, SC",32.79040383,-79.93718409,Youtube,,image;movingimage,video/mp4,en,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,,jx0VnqPG8BI,,Alphonso Brown 'Alonzo Tour',Alonzo Byrd,4/5/2021,Footage from Alonzo's tour,gullah;charleston;geechee; gullah geechee;language;tourism;tour,"Charleston, SC",32.79040383,-79.93718409,Youtube,,image;movingimage,video/mp4,en,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,,hIQ_fjJpYC0,,Alphonso Brown 'Boggie Tour',boggieboard3153,3/13/2015,Footage from Boggie's tour,gullah;charleston;geechee; gullah geechee;language;tourism;tour,"Charleston, SC",32.79040383,-79.93718409,Youtube,,image;movingimage,video/mp4,en,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll011,http://villars3e.free.fr/porgy/Porgy_and_Bess/Partitions_originales_files/Porgy%20And%20Bess%20-%20partition%20complete.pdf,,,Porgy and Bess Opera,George Gershwin,9/30/1935,Complete sheets for 'Porgy and Bess',gullah;porgy and bess;black;african american;opera;george gershwin,"Boston, MA",42.35250588,-71.06546999,Porgy & Bess: Projet chorale,,document,application/pdf,en,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll012,porgy.pdf,,,Porgy Novel,Dubose Heyward,4/11/1905,Print novel of 'Porgy',gullah;porgy and bess;porgy;black;african american;dubose heyward,,32.7756468,-79.92926858,Jonathan Cape,,document,application/pdf,en,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
